,train,test
0,6.99,7.67
1,7.88,9.21
2,9.1,9.72
3,10.77,10.23
4,11.73,11.0
5,13.33,12.28
6,14.68,13.3
7,15.51,13.3
8,17.56,14.58
9,18.59,15.6
10,20.19,16.11
11,21.67,17.65
12,22.56,18.16
13,23.65,19.69
14,24.81,19.95
15,25.45,21.74
16,26.35,23.02
17,26.92,24.55
18,28.4,26.6
19,29.42,29.16
20,30.32,30.43
21,31.54,31.2
22,32.31,31.97
23,33.78,32.99
24,34.42,34.53
25,35.45,34.78
26,35.96,36.57
27,36.54,37.6
28,37.56,38.36
29,38.53,38.87
30,39.36,40.15
31,40.26,40.66
32,41.09,41.18
33,42.05,41.69
34,43.01,42.2
35,43.78,43.22
36,44.42,44.76
37,45.26,45.01
38,45.96,45.27
39,46.41,45.78
40,46.86,46.55
41,47.24,47.31
42,47.31,47.57
43,48.08,48.59
44,48.72,48.85
45,49.23,49.36
46,49.81,50.13
47,50.13,50.38
48,50.77,50.64
49,51.15,51.66
50,51.6,52.17
51,51.86,52.43
52,52.37,53.2
53,52.95,53.45
54,53.33,53.45
55,53.59,53.96
56,54.04,54.22
57,54.55,54.48
58,54.94,54.73
59,55.32,54.99
60,55.83,54.99
61,56.22,54.99
62,56.6,54.99
63,56.92,55.75
64,57.44,56.27
65,57.63,56.52
66,58.01,57.03
67,58.4,57.54
68,58.78,57.54
69,58.91,57.54
70,59.36,58.57
71,59.42,58.82
72,59.68,59.08
73,60.13,60.1
74,60.45,60.61
75,60.64,60.61
76,60.83,60.61
77,61.35,61.38
78,61.99,61.38
79,62.18,61.89
80,62.56,62.92
81,62.76,62.92
82,63.01,62.92
83,63.46,63.43
84,63.46,63.68
85,63.78,63.94
86,63.97,63.94
87,64.29,64.96
88,64.62,65.47
89,64.87,65.73
90,65.13,65.73
91,65.38,65.73
92,65.71,65.98
93,65.9,66.24
94,66.03,66.24
