,train,test
0,5.32,5.88
1,6.47,6.65
2,7.82,7.16
3,9.1,7.93
4,10.64,9.72
5,11.99,11.51
6,12.82,13.55
7,14.1,14.32
8,15.0,16.62
9,16.28,17.14
10,17.5,17.9
11,18.33,20.2
12,19.74,21.23
13,20.83,22.25
14,22.18,23.53
15,23.21,24.3
16,24.36,25.58
17,25.51,26.09
18,26.92,27.62
19,28.65,28.39
20,29.42,29.16
21,30.26,30.18
22,31.41,30.95
23,32.37,32.99
24,33.27,33.25
25,34.68,33.76
26,35.71,34.27
27,36.67,35.81
28,38.08,37.34
29,38.97,38.36
30,39.81,39.13
31,40.83,39.39
32,41.47,40.66
33,42.24,41.69
34,43.4,42.97
35,44.29,44.25
36,45.0,45.01
37,45.77,46.55
38,46.79,47.83
39,47.44,48.59
40,48.14,49.36
41,48.65,49.87
42,49.49,51.41
43,50.19,51.66
44,51.09,53.2
45,51.79,53.71
46,52.76,53.71
47,53.27,54.22
48,53.97,55.24
49,55.26,55.75
50,55.64,56.01
51,56.09,56.52
52,56.6,56.78
53,57.05,57.03
54,57.63,57.54
55,58.21,57.8
56,58.46,58.82
57,58.65,59.34
58,58.91,59.59
59,59.29,60.61
60,59.62,60.87
61,60.13,61.13
62,60.64,61.89
63,60.71,62.4
64,61.28,62.92
65,61.6,63.68
66,61.79,64.45
67,62.24,64.71
68,62.88,64.96
69,63.33,65.73
70,63.65,66.5
71,63.97,67.01
72,64.23,67.52
73,64.49,67.77
74,65.13,68.29
75,65.45,68.54
76,65.51,68.8
77,65.71,68.8
78,65.83,69.31
79,66.09,69.31
80,66.54,69.82
81,66.92,69.82
82,67.18,69.82
83,67.44,70.08
84,67.69,70.59
85,67.88,70.59
86,68.14,71.1
87,68.65,71.36
88,68.91,71.87
89,68.97,72.12
90,69.36,72.38
91,69.68,72.38
92,69.94,72.63
93,70.45,72.89
94,70.77,72.89
