,train,test
0,7.75,7.87
1,9.71,8.63
2,11.24,9.9
3,13.14,11.17
4,14.54,11.93
5,15.94,12.44
6,16.76,13.96
7,18.16,15.23
8,19.62,16.5
9,20.63,17.26
10,21.78,19.29
11,23.05,20.05
12,24.0,21.32
13,24.95,21.83
14,26.1,22.59
15,27.56,24.11
16,28.7,25.63
17,30.22,26.14
18,31.49,27.66
19,32.32,29.7
20,33.33,30.71
21,34.73,32.23
22,36.0,34.01
23,37.02,34.52
24,38.16,35.03
25,39.3,35.79
26,40.57,36.04
27,41.84,36.8
28,43.05,37.82
29,44.06,38.58
30,45.33,39.34
31,46.16,40.36
32,47.17,42.13
33,47.87,43.15
34,48.63,44.92
35,49.52,45.94
36,50.79,47.46
37,51.49,47.97
38,52.13,48.73
39,52.44,49.24
40,53.21,49.75
41,54.16,50.0
42,54.92,50.76
43,55.49,51.78
44,55.81,52.28
45,56.51,54.06
46,56.95,54.82
47,57.78,55.33
48,58.35,56.35
49,58.6,57.11
50,59.3,57.36
51,59.75,57.87
52,60.38,58.12
53,60.76,58.88
54,60.95,59.9
55,61.27,60.66
56,62.16,60.91
57,62.48,61.17
58,62.79,61.17
59,63.17,61.93
60,63.3,62.18
61,64.0,62.18
62,64.57,62.18
63,65.08,62.44
64,65.59,63.2
65,66.03,63.96
66,66.41,64.21
67,66.79,64.97
68,67.24,65.48
69,67.56,65.74
70,67.81,66.24
71,68.19,66.5
72,68.76,67.26
73,69.14,67.26
74,69.4,67.26
75,69.84,67.51
76,70.35,67.77
77,70.67,67.77
78,71.05,67.77
79,71.37,68.27
80,71.68,68.53
81,72.13,69.04
82,72.38,69.04
83,72.63,69.29
84,72.95,69.8
85,73.4,70.05
86,73.71,70.3
87,74.03,70.3
88,74.22,70.3
89,74.67,70.56
90,74.73,71.07
91,74.92,71.57
92,75.11,71.83
93,75.37,72.08
94,75.62,72.08
