,train,test
0,9.78,9.64
1,11.43,11.93
2,12.0,13.2
3,13.65,15.23
4,15.3,18.53
5,16.76,21.07
6,18.67,23.1
7,20.57,23.6
8,22.03,23.86
9,23.49,24.87
10,24.83,25.63
11,26.54,26.4
12,27.62,28.17
13,29.33,28.68
14,30.67,31.73
15,32.0,34.26
16,33.21,35.53
17,34.22,36.8
18,35.24,38.07
19,36.51,39.34
20,37.9,40.61
21,39.24,41.37
22,40.19,41.88
23,41.02,42.64
24,42.35,43.65
25,43.62,44.42
26,44.7,45.18
27,45.14,45.94
28,45.84,46.19
29,46.48,46.95
30,47.3,47.72
31,48.19,48.22
32,49.14,48.98
33,49.59,49.75
34,50.41,50.76
35,51.11,50.76
36,51.68,50.76
37,52.63,51.27
38,53.4,51.78
39,54.1,52.28
40,55.05,52.28
41,55.94,52.79
42,56.32,52.79
43,56.95,53.3
44,57.52,53.55
45,58.22,54.82
46,58.73,55.08
47,59.37,55.33
48,60.19,55.84
49,60.7,56.35
50,61.08,57.61
51,61.33,58.63
52,61.9,59.14
53,62.41,59.64
54,62.86,60.41
55,63.37,60.66
56,63.49,61.68
57,64.06,62.69
58,64.32,63.2
59,64.76,63.71
60,65.21,63.71
61,65.84,63.96
62,66.1,64.21
63,66.41,64.21
64,66.73,64.47
65,66.98,64.72
66,67.43,65.48
67,67.68,65.48
68,67.87,65.99
69,68.57,66.24
70,68.95,66.75
71,69.52,67.26
72,69.9,67.51
73,70.29,67.51
74,70.41,67.77
75,70.98,68.27
76,71.24,68.78
77,71.49,69.04
78,71.75,69.54
79,71.94,69.8
80,72.51,70.05
81,73.02,70.05
82,73.27,71.07
83,73.52,71.32
84,73.59,71.32
85,74.03,71.57
86,74.22,71.57
87,74.54,71.83
88,74.86,72.08
89,75.3,72.84
90,75.56,73.35
91,75.81,74.11
92,76.51,74.11
93,76.7,74.87
94,77.14,75.38
