,train,test
0,3.13,2.8
1,3.6,4.11
2,4.44,5.23
3,5.28,6.17
4,5.98,6.54
5,6.78,6.92
6,7.38,8.22
7,8.13,9.35
8,9.02,9.53
9,9.77,10.28
10,10.47,11.21
11,11.12,11.59
12,11.64,12.15
13,12.06,12.71
14,12.57,13.27
15,13.04,13.64
16,13.69,14.02
17,14.3,14.58
18,14.77,15.51
19,15.51,15.89
20,16.03,16.26
21,16.26,17.01
22,17.06,17.76
23,17.48,18.32
24,18.41,19.07
25,18.88,19.81
26,19.39,20.19
27,19.63,20.75
28,20.33,21.31
29,20.93,21.68
30,21.4,22.06
31,21.82,22.43
32,22.43,22.62
33,22.99,23.55
34,23.36,23.74
35,23.74,23.74
36,24.53,24.11
37,25.14,24.86
38,25.79,25.23
39,26.64,25.42
40,27.06,26.17
41,27.57,26.36
42,28.13,27.66
43,28.64,28.41
44,29.25,28.79
45,29.58,29.53
46,30.14,29.72
47,30.61,30.84
48,31.36,31.4
49,32.15,31.96
50,32.57,32.71
51,32.9,33.64
52,33.08,34.39
53,33.64,35.33
54,34.21,35.89
55,35.14,36.45
56,35.61,36.64
57,35.98,37.38
58,36.36,37.76
59,37.01,38.13
60,37.57,39.07
61,37.94,39.63
62,38.5,39.63
63,38.83,40.0
64,39.07,40.0
65,39.63,40.56
66,40.09,41.12
67,40.7,41.31
68,41.21,41.87
69,41.64,42.24
70,42.01,42.8
71,42.38,43.36
72,42.94,43.36
73,43.41,43.93
74,43.83,43.93
75,44.35,44.11
76,44.81,44.3
77,45.0,44.86
78,45.61,45.79
79,45.98,46.36
80,46.4,47.1
81,46.73,47.66
82,47.15,47.85
83,47.62,48.79
84,48.08,49.53
85,48.55,50.28
86,49.35,50.65
87,49.63,51.4
88,50.28,51.78
89,50.61,52.15
90,50.98,52.34
91,51.68,52.52
92,52.2,52.71
93,52.66,53.08
94,53.13,53.64
