,train,test
0,3.79,3.93
1,4.81,5.23
2,5.56,6.17
3,6.12,7.1
4,7.2,7.85
5,8.04,9.16
6,8.69,10.28
7,9.39,11.03
8,9.58,11.78
9,10.84,12.9
10,11.68,13.08
11,12.43,13.64
12,13.36,15.51
13,14.02,16.07
14,15.09,16.64
15,15.93,16.82
16,16.64,17.2
17,17.38,17.38
18,18.04,18.13
19,19.11,18.5
20,19.77,19.07
21,20.89,20.19
22,21.64,21.68
23,22.48,21.68
24,23.36,22.24
25,23.83,22.99
26,24.44,24.3
27,25.14,24.86
28,25.65,25.23
29,26.78,25.79
30,27.57,26.36
31,28.36,28.22
32,29.02,28.6
33,29.44,29.35
34,30.14,29.91
35,30.7,31.21
36,31.45,31.96
37,31.82,32.71
38,32.38,33.08
39,33.13,33.46
40,33.88,34.21
41,34.53,35.14
42,35.33,35.51
43,36.31,36.26
44,37.15,36.45
45,38.13,36.82
46,38.88,37.57
47,39.53,38.13
48,39.81,38.32
49,40.37,38.88
50,41.26,40.37
51,41.96,41.12
52,43.13,42.06
53,43.74,43.36
54,44.39,43.74
55,45.23,44.11
56,45.98,44.67
57,46.82,45.61
58,47.38,46.36
59,48.18,46.92
60,48.83,47.29
61,49.3,48.22
62,50.05,48.6
63,50.47,48.6
64,51.36,49.53
65,51.64,50.65
66,52.24,50.65
67,53.18,50.84
68,53.41,51.78
69,54.21,52.71
70,54.86,54.02
71,55.51,55.7
72,56.03,56.45
73,56.54,56.82
74,57.24,57.94
75,57.76,59.25
76,58.18,60.19
77,58.69,60.93
78,59.39,61.31
79,59.81,62.24
80,60.14,62.62
81,60.61,63.18
82,61.12,63.55
83,61.45,63.93
84,62.1,64.11
85,62.66,64.3
86,63.18,64.67
87,63.32,65.23
88,63.79,65.61
89,64.58,66.36
90,65.14,66.92
91,65.61,67.1
92,65.93,68.04
93,66.45,69.72
94,66.73,70.09
