,train,test
0,6.75,5.2
1,7.91,6.13
2,9.35,7.25
3,10.56,8.55
4,11.68,9.11
5,13.08,10.22
6,14.1,11.15
7,15.31,12.64
8,16.85,14.31
9,17.82,15.61
10,19.17,16.54
11,20.29,17.1
12,21.5,18.77
13,22.75,19.7
14,23.41,20.26
15,24.43,20.82
16,25.27,21.38
17,26.57,22.49
18,27.5,23.61
19,28.43,24.54
20,28.94,25.09
21,29.83,26.39
22,30.94,27.7
23,31.92,29.74
24,32.76,30.11
25,33.69,31.04
26,34.62,31.78
27,35.41,32.34
28,36.39,32.9
29,36.85,33.46
30,37.65,34.01
31,38.44,34.94
32,38.95,35.13
33,39.6,36.25
34,40.34,36.8
35,41.14,37.17
36,42.07,37.17
37,42.86,37.73
38,43.79,38.66
39,44.9,39.59
40,45.65,39.96
41,46.44,40.52
42,47.23,42.01
43,47.84,42.57
44,48.58,42.94
45,49.37,44.61
46,49.84,45.72
47,50.58,46.84
48,51.0,47.77
49,51.88,48.7
50,52.26,49.07
51,53.05,49.63
52,53.7,50.37
53,54.26,50.56
54,54.86,50.93
55,55.51,51.12
56,55.98,51.86
57,56.35,52.23
58,56.82,52.97
59,57.47,53.72
60,57.98,54.28
61,58.4,54.65
62,59.0,54.65
63,59.38,55.2
64,59.75,55.58
65,60.35,56.13
66,60.68,56.32
67,61.42,56.69
68,61.8,57.43
69,62.63,57.62
70,63.15,58.18
71,63.52,58.74
72,64.31,59.48
73,64.68,59.85
74,65.1,60.41
75,65.43,61.34
76,65.84,61.9
77,66.26,62.27
78,66.82,63.2
79,67.19,64.5
80,67.61,64.68
81,67.94,65.24
82,68.31,65.99
83,68.73,66.54
84,69.15,66.91
85,69.57,67.29
86,69.89,68.03
87,70.17,68.03
88,70.59,68.03
89,71.01,68.4
90,71.38,68.59
91,71.66,68.77
92,72.03,68.96
93,72.22,69.7
94,72.64,70.26
